,artist_name,track_name,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
45,Post Malone,Wow.,7xQAfvXzm3AkraOtGPWIZg,89,0.829,0.539,11,-7.359,0,0.208,0.136,1.78e-06,0.103,0.388,99.96,149547,4
46,Kanye West,Selah,39JRmdKFka1Oe09FoOCPI4,87,0.482,0.618,9,-5.673,0,0.197,0.647,0.000859,0.32,0.146,90.076,164620,3
47,24kGoldn,VALENTINO,0c7K73roy6RW4ebDkf4yGh,87,0.745,0.718,9,-4.853,0,0.183,0.197,0.0,0.134,0.539,151.097,179133,4
48,Kanye West,Everything We Need,24bnCCysWnbNRNUT4LpHcP,87,0.894,0.416,9,-6.823,0,0.0538,0.312,0.0,0.146,0.463,116.96,116560,4
49,Quality Control,Baby,2nKYHpmwjLaEOXS3o7QMiz,85,0.97,0.463,10,-7.259,1,0.366,0.0957,0.0,0.151,0.46,108.003,142417,4
50,Lil Nas X,Panini - DaBaby Remix,4SDgTLDYrJ2UrHbkRkg7MD,86,0.717,0.598,5,-5.613,0,0.0809,0.22,0.0,0.122,0.496,153.905,151040,4
51,Lil Tecca,Did It Again,4guBZjUyrGoHsTahO3IHdj,86,0.686,0.561,10,-9.929,0,0.191,0.185,0.0,0.114,0.186,148.775,116240,4
52,Zedd,Good Thing (with Kehlani),5aUSEPNd3m5xliFK4pn5mU,89,0.693,0.564,1,-3.857,0,0.0378,0.399,0.0,0.0409,0.574,185.913,210901,3
53,Ali Gatie,It's You,6moU77g9RQyMzHNuKEaQKq,93,0.732,0.463,11,-6.972,0,0.0287,0.374,0.0,0.194,0.397,95.971,212607,4
54,Ariana Grande,boyfriend (with Social House),0Ryd8975WihbObpp5cPW1t,91,0.4,0.795,10,-3.731,0,0.461,0.119,0.0,0.159,0.702,190.097,186107,4
55,Diplo,Heartless (feat. Morgan Wallen),0rFQ5cKYJ9WtHSKp9sxVYt,86,0.764,0.555,11,-6.414,1,0.0604,0.275,0.0,0.0824,0.255,111.004,169227,4
56,Kanye West,Use This Gospel,0oPOuDmmkVp3h6puekhs6P,86,0.611,0.459,0,-3.926,0,0.0422,0.614,0.0,0.126,0.177,148.28,213878,4
57,Normani,Motivation,0rIAC4PXANcKmitJfoqmVm,90,0.599,0.887,4,-3.967,1,0.0984,0.0192,1.21e-06,0.3,0.881,170.918,193837,4
58,Ellie Goulding,Hate Me (with Juice WRLD),6kls8cSlUyHW2BUOkDJIZE,89,0.657,0.768,8,-4.628,1,0.0507,0.108,0.0,0.144,0.759,75.025,186223,4
59,Taylor Swift,Lover,1dGr1c8CrMLDpV6mPbImSI,90,0.359,0.543,7,-7.582,1,0.0919,0.492,1.58e-05,0.118,0.453,68.534,221307,4
60,Young Thug,The London (feat. J. Cole & Travis Scott),7DcvwMAiqKJQD1rrdfxSDx,87,0.796,0.586,4,-6.946,0,0.147,0.0247,0.0,0.132,0.179,97.981,200107,4
61,Post Malone,Die For Me (feat. Future & Halsey),2C6WXnmZ66tHhHlnvwePiK,87,0.614,0.66,0,-2.848,1,0.0441,0.19,0.0,0.211,0.452,145.01,245267,4
62,Megan Thee Stallion,Hot Girl Summer (feat. Nicki Minaj & Ty Dolla $ign),5N1o6d8zGcSZSeMFkOUQOk,85,0.872,0.814,0,-4.568,1,0.155,0.00485,1.96e-06,0.214,0.57,98.985,199427,4
63,Post Malone,On The Road (feat. Meek Mill & Lil Baby),12Fkyg9lpmaz2zmKOfw2Y2,87,0.442,0.737,7,-5.046,1,0.109,0.0589,0.0,0.102,0.21,112.93,218320,5
64,NLE Choppa,Shotta Flow (Feat. Blueface) [Remix],67XyC1GdSkKb9sbRRkUDXS,85,0.894,0.511,2,-4.768,1,0.42,0.0251,0.0,0.14,0.568,120.08,176632,4
65,Bazzi,I.F.L.Y.,4a6q8CR2hzLk2plDkSxkfD,90,0.812,0.519,2,-4.823,1,0.0385,0.379,0.0,0.13,0.554,104.954,165714,4
66,Billie Eilish,when the party's over,43zdsphuZLzwA9k4DJhU0I,90,0.367,0.111,4,-14.084,1,0.0972,0.978,3.97e-05,0.0897,0.198,82.642,196077,4
67,"Tyler, The Creator",EARFQUAKE,5hVghJ4KaYES3BFUATCYn0,86,0.554,0.498,9,-8.866,1,0.0685,0.23,5.98e-06,0.795,0.413,79.635,190067,4
68,Tones and I,Dance Monkey,2XU0oxnq2qxCpomAAuJY8K,95,0.824,0.588,6,-6.4,0,0.0924,0.692,0.000104,0.149,0.513,98.027,209438,4
69,Lil Uzi Vert,Sanguine Paradise,3XiNC94b4Tq1xwv70sQJGN,84,0.729,0.603,6,-6.736,0,0.0666,0.0948,0.0,0.113,0.207,134.972,243976,4
70,Mustard,"Baguettes in the Face (feat. NAV, Playboi Carti & A Boogie Wit da Hoodie)",2zjGJ0dChMR0KxBZS15aqo,85,0.883,0.525,2,-8.054,0,0.0633,0.189,0.0,0.0971,0.312,99.978,174100,4
71,The Chainsmokers,Takeaway,6wo37KVqFJhtuxPTpLCcfe,92,0.294,0.505,3,-8.106,1,0.042,0.12,0.0,0.0977,0.357,85.332,209893,1
72,Juice WRLD,Robbery,6Hj9jySrnFppAI0sEMCZpJ,85,0.685,0.692,2,-5.122,1,0.0457,0.328,0.0,0.153,0.578,159.966,240051,5
73,Taylor Swift,You Need To Calm Down,6RRNNciQGZEXnqk8SQ9yv5,88,0.771,0.671,2,-5.617,1,0.0553,0.00929,0.0,0.0637,0.714,85.026,171360,4
74,Lil Nas X,Old Town Road - Remix,2YpeDb67231RjR0MgVLzsG,93,0.878,0.619,6,-5.56,1,0.102,0.0533,0.0,0.113,0.639,136.041,157067,4
75,Bad Bunny,Callaita,2TH65lNHgvLxCKXM3apjxI,94,0.61,0.624,2,-4.773,1,0.309,0.6,2.12e-06,0.243,0.244,176.169,250534,4
76,Post Malone,Sunflower - Spider-Man: Into the Spider-Verse,0RiRZpuVRbi7oqRdSMwhQY,88,0.755,0.522,2,-4.368,1,0.0575,0.533,0.0,0.0685,0.925,89.96,157560,4
77,Lil Tjay,F.N,0RLLvYBopDwooCyvnTwgYu,82,0.567,0.515,6,-10.265,0,0.247,0.354,0.0,0.078,0.321,120.1,224000,1
78,Kanye West,God Is,6xRWoYwfwIKnT8bQGzKbxR,85,0.656,0.637,1,-3.867,1,0.0256,0.34,0.0,0.187,0.267,105.037,203141,4
79,Marshmello,One Thing Right,4hPpVbbakQNv8YTHYaOJP4,88,0.659,0.623,4,-2.253,1,0.0451,0.0667,0.0,0.582,0.439,88.042,181824,4
80,Young Thug,Hot (Remix) [feat. Gunna and Travis Scott],56AMYGJzxBO6p8v0wEe9de,83,0.848,0.713,7,-5.636,0,0.176,0.158,0.0,0.0765,0.509,111.984,279907,4
81,DaBaby,INTRO,77KMttn3Lic7ZQKDlPqp8v,83,0.862,0.685,0,-7.699,0,0.242,0.0342,0.0,0.204,0.672,100.024,172800,4
82,Ed Sheeran,South of the Border (feat. Camila Cabello & Cardi B),4vUmTMuQqjdnvlZmAH61Qk,93,0.857,0.621,9,-6.376,0,0.0824,0.148,0.0,0.0865,0.668,97.986,204467,4
83,Kanye West,Water,454Epa1vrCGFddHXKyC1kb,85,0.505,0.281,2,-12.404,1,0.1,0.57,0.000254,0.163,0.283,82.338,168420,4
84,Saweetie,My Type,5KBARWIxeMGkvUax9VtVC9,84,0.899,0.811,2,-6.294,1,0.258,0.000677,0.0,0.0672,0.587,105.038,126446,4
85,Ariana Grande,7 rings,6ocbgoVGwYJhOv1GgI9NsF,90,0.778,0.317,1,-10.732,0,0.334,0.592,0.0,0.0881,0.327,140.048,178627,4
86,Lil Tecca,Ransom (with Juice WRLD) - Remix,2WsuSYJNXGKXVYkHPnq2yp,84,0.684,0.671,2,-6.424,0,0.289,0.0119,0.0,0.0769,0.45,179.987,171253,4
87,Regard,Ride It,2tnVG71enUj33Ic2nFN6kZ,95,0.893,0.748,7,-4.299,0,0.0821,0.272,1.62e-05,0.093,0.867,117.958,157605,4
88,Megan Thee Stallion,Cash Shit (feat. DaBaby),2rMAtCaTj16NptyVfEIeAC,82,0.921,0.635,1,-4.904,1,0.416,0.0218,0.0,0.0946,0.549,130.028,192540,4
89,Kanye West,Every Hour,1WnqWQcWcuQbVzgE7ecfCY,85,0.588,0.793,7,-6.23,1,0.0794,0.466,0.000647,0.913,0.694,76.997,112239,5
90,J Balvin,LA CANCIÓN,0fea68AdmYNygeTGI4RC18,93,0.754,0.646,7,-5.795,1,0.317,0.152,1.85e-05,0.108,0.429,176.089,242573,4
91,Internet Money,Somebody,735RSTb2xbtWbDtKD9XDYi,84,0.63,0.671,6,-6.659,0,0.256,0.363,0.0,0.113,0.333,89.921,174333,4
92,Mustard,Pure Water (with Migos),3j84U36KvLeXNDPv4t5pI8,85,0.682,0.559,0,-5.545,1,0.127,0.174,0.0,0.344,0.137,202.015,192471,4
93,Lizzo,Good As Hell (feat. Ariana Grande) - Remix,07Oz5StQ7GRoygNLaXs2pd,88,0.668,0.892,5,-3.001,0,0.0645,0.298,0.0,0.735,0.478,95.927,159011,4
94,Niall Horan,Nice To Meet Ya,3cphb8kdsjElYR7r5icK3H,89,0.591,0.841,4,-4.351,0,0.0304,0.0119,0.0,0.395,0.392,109.034,158805,4
95,Anuel AA,China,2ksOAxtIxY8yElEWw8RhgK,96,0.786,0.808,7,-3.702,1,0.0882,0.0846,0.000289,0.0822,0.609,105.027,301714,4
96,Summer Walker,Playing Games (with Bryson Tiller) - Extended Version,2xyx0o4xNOLLjBSbOOdcbA,85,0.726,0.408,11,-6.606,0,0.0614,0.603,0.0,0.225,0.459,115.918,143227,4
97,Gunna,Baby Birkin,0BOmhToQ03yOdpzYKMEnAg,82,0.848,0.649,2,-6.083,1,0.315,0.232,0.0,0.101,0.629,118.04,181948,4
98,Kanye West,Hands On,7r6aR2f57resC5r93LwMfK,84,0.514,0.393,1,-8.72,0,0.529,0.558,0.0,0.282,0.598,78.039,203174,4
99,Post Malone,A Thousand Bad Times,2J0NXdHr6MYvKDSxB7k3V2,85,0.632,0.732,6,-3.498,1,0.092,0.105,1.15e-05,0.111,0.317,159.0,221173,4
100,Khalid,Talk (feat. Disclosure),6TqXcAFInzjp0bODyvrWEq,85,0.901,0.4,0,-8.575,1,0.126,0.051,0.0,0.0599,0.346,135.984,197573,4
101,Lil Tecca,Love Me,4e0FYxSROat25pH16zMTZI,85,0.719,0.538,11,-6.897,0,0.28,0.632,0.0,0.135,0.803,204.132,117013,4
102,YoungBoy Never Broke Again,Self Control,4vSoyDfL0uZyUoWu5NNNsQ,81,0.82,0.697,6,-7.296,0,0.378,0.0349,0.0,0.197,0.629,154.992,185866,4
103,Camila Cabello,Easy,46D0hYb1B7qiU33VtXt21W,87,0.582,0.534,4,-7.006,0,0.0439,0.576,2.04e-06,0.101,0.34,128.021,196240,4
104,Diplo,Lonely (with Jonas Brothers),4fwo6czG5nvOQMzhOto1ya,88,0.738,0.717,1,-5.121,1,0.0573,0.062,0.0,0.205,0.5,98.047,139813,4
105,Ed Sheeran,I Don't Care (with Justin Bieber),3HVWdVOQ0ZA45FuZGSfvns,93,0.798,0.675,6,-5.041,1,0.0442,0.0912,0.0,0.0894,0.842,101.956,219947,4
106,Lewis Capaldi,Bruises,4Of7rzpRpV1mWRbhp5rAqG,88,0.736,0.308,4,-7.83,1,0.0677,0.946,0.0,0.186,0.361,111.202,220492,4
107,Lauv,Feelings,0y675KDleCZEudjoeL1sQQ,88,0.694,0.466,9,-6.758,1,0.0384,0.0934,0.0,0.098,0.246,103.018,189613,4
108,DaBaby,TOES (feat. Lil Baby & Moneybagg Yo),2FvD20Z8aoWIePi7PoN8sG,81,0.816,0.582,8,-4.141,1,0.341,0.0794,5.84e-06,0.0916,0.542,160.004,136366,4
109,Ariana Grande,"thank u, next",3e9HZxeyfWwjeyPAMmWSSQ,88,0.717,0.653,1,-5.634,1,0.0658,0.229,0.0,0.101,0.412,106.966,207320,4
110,DaBaby,Goin Baby,3WyRgi8CzQnhzO0xw79tTS,82,0.755,0.772,6,-5.585,1,0.4,0.128,0.0,0.157,0.678,132.906,141827,4
111,DaBaby,RAW SHIT (feat. Migos),1CCDIow4pPYyJYzhtTUYz2,82,0.874,0.714,5,-4.946,1,0.233,0.0273,0.0,0.356,0.85,130.046,216678,4
112,French Montana,Writing on the Wall (feat. Post Malone & Cardi B),7x9nXsowok1JszkVztI5NI,88,0.773,0.836,9,-2.326,0,0.153,0.283,2.1e-05,0.0828,0.497,112.01,201271,4
113,Lauv,"fuck, i'm lonely (with Anne-Marie) - from “13 Reasons Why: Season 3”",322tcqPhma7F6hfCeLisx0,91,0.806,0.558,9,-6.46,1,0.0683,0.482,0.0,0.0618,0.678,95.016,198973,4
114,DaBaby,Baby Sitter (feat. Offset),7f1zjZG77S891Uv4O68yfk,82,0.852,0.73,1,-5.803,1,0.0579,0.0219,0.0,0.336,0.394,92.506,157693,4
115,Bazzi,Paradise,0Rx0DJI556Ix5gBny6EWmn,85,0.844,0.644,11,-6.273,0,0.0479,0.0828,0.0,0.113,0.591,122.061,169038,4
116,Billie Eilish,bury a friend,4SSnFejRGlZikf02HLewEF,87,0.905,0.389,8,-14.505,1,0.332,0.74,0.162,0.106,0.196,120.046,193143,4
117,Summer Walker,Come Thru (with Usher),3TTMUI5dFcbeNSDTTDY9M8,83,0.679,0.728,5,-3.092,0,0.154,0.159,0.0,0.107,0.46,152.001,181013,4
118,Sam Smith,Dancing With A Stranger (with Normani),6Qs4SXO9dwPj5GKvVOv8Ki,89,0.741,0.52,8,-7.513,1,0.0656,0.45,1.97e-06,0.222,0.347,102.998,171030,4
119,Lil Skies,I,4ZT9FnbFu1PaBfV3itxiqT,82,0.649,0.453,6,-7.28,1,0.085,0.627,0.0,0.116,0.431,99.183,181891,4
120,Kygo,Higher Love,6oJ6le65B3SEqPwMRNXWjY,92,0.693,0.678,8,-7.159,1,0.0324,0.0154,6.05e-06,0.101,0.404,103.952,228267,4
121,Drake,Behind Barz - Bonus,5r7WvQtyPfy1xch5zMgGRp,84,0.854,0.554,8,-4.684,1,0.172,0.769,1.84e-06,0.0749,0.272,142.069,163121,4
122,NAV,Tap (feat. Meek Mill),5rU6kDNXZLXIinFezpbWbO,82,0.901,0.676,2,-7.033,1,0.251,0.0646,0.0,0.0863,0.452,85.018,148278,4
123,Billie Eilish,i love you,6CcJMwBtXByIz4zQLzFkKc,86,0.421,0.131,0,-18.435,1,0.0382,0.952,0.00453,0.109,0.12,137.446,291796,4
124,21 Savage,Immortal,4IO8X9W69dIQe0EC5ALXhq,81,0.741,0.87,6,-3.494,0,0.503,0.00813,0.0,0.114,0.663,184.194,254723,4
125,Post Malone,I'm Gonna Be,1ckLp8lCl8LipXI0ypX72m,83,0.746,0.559,5,-4.008,1,0.0316,0.703,0.0,0.148,0.368,117.943,200680,4
126,BTS,Make It Right (feat. Lauv),314ZkcV7oLWG8yWE7LABvH,88,0.584,0.685,7,-7.811,1,0.425,0.0304,0.0,0.189,0.345,97.551,226321,4
127,Luke Combs,Beer Never Broke My Heart,7nfmK6oHPDlAd68A11d7AN,81,0.54,0.863,1,-4.483,1,0.0481,0.0138,0.0,0.0871,0.64,77.0,186800,4
128,Dua Lipa,Don't Start Now,6WrI0LAC5M1Rw2MnX2ZvEg,89,0.794,0.793,11,-4.521,0,0.0842,0.0125,0.0,0.0952,0.677,123.941,183290,4
129,Post Malone,Allergic,1YscJ7yVTlFxW3eF6pv5ba,83,0.665,0.741,0,-3.694,1,0.0787,0.154,3.02e-05,0.345,0.57,144.968,156893,4
130,Kanye West,Jesus Is Lord,7sBgFMWqDWQgrsNSpIBoe8,83,0.243,0.26,4,-5.876,0,0.0305,0.828,4.03e-05,0.532,0.327,76.61,49293,3
131,Taylor Swift,ME! (feat. Brendon Urie of Panic! At The Disco),2Rk4JlNc2TPmZe2af99d45,87,0.61,0.83,0,-4.105,1,0.0571,0.033,0.0,0.118,0.728,182.162,193000,4
132,Taylor Swift,I Forgot That You Existed,43rA71bccXFGD4C8GOpIlN,84,0.664,0.316,5,-10.345,1,0.519,0.298,2.03e-06,0.0812,0.541,92.875,170640,4
133,Jonas Brothers,Only Human,0DiDStADDVh3SvAsoJAFMk,88,0.795,0.496,0,-5.883,1,0.0722,0.108,0.0,0.0645,0.874,94.01,183000,4
134,Dreamville,"Costa Rica (with Bas & JID feat. Guapdad 4000, Reese LAFLARE, Jace, Mez, Smokepurpp, Buddy & Ski Mask The Slump God)",5WnfnSpuNEGXyEt78PBA6d,81,0.642,0.647,7,-6.312,0,0.428,0.517,0.0,0.0649,0.664,120.749,217867,4
135,Shawn Mendes,If I Can't Have You,6LsAAHotRLMOHfCsSfYCsz,88,0.692,0.809,2,-4.198,1,0.0602,0.524,0.0,0.147,0.864,123.911,190800,4
136,Quality Control,Baby (Lil Baby feat. DaBaby),5MPPttjfGap2C6j6eKcO6J,81,0.97,0.463,10,-7.259,1,0.366,0.0957,0.0,0.151,0.46,108.003,142417,4
137,J Balvin,Safari,3v6p0XcC572b1oG9jpEZh7,0,0.689,0.675,0,-4.281,1,0.32,0.531,3.17e-06,0.115,0.604,180.065,205600,4
138,J Balvin,Reggaeton,4ICsXWY8ZtEfTTXXFcxhmg,0,0.747,0.74,4,-4.325,0,0.191,0.0165,9.94e-05,0.101,0.552,176.059,158800,4
139,J Balvin,Bonita,4Jen0Dn8gMuCkzEwWa3g5l,0,0.775,0.867,5,-1.582,0,0.0414,0.0132,0.00684,0.278,0.869,96.038,265747,4
140,J Balvin,Tranquila,6sB2c23hUI6BG9vEtJgV0r,0,0.718,0.679,4,-6.216,0,0.197,0.0298,0.0,0.126,0.669,175.982,199933,4
141,J Balvin,Sigo Extrañándote,7IU8gONnWr8QDbFMnwyncV,0,0.896,0.859,11,-4.232,0,0.211,0.154,0.000115,0.212,0.938,93.016,201280,4
142,Post Malone,Staring At The Sun (feat. SZA),5KE9b4x7Zj2A8XtbkqhqTe,83,0.724,0.772,6,-4.389,0,0.184,0.248,0.0,0.308,0.347,95.074,168280,4
143,Lizzo,Juice,0k664IuFwVP557Gnx7RhIl,83,0.767,0.889,7,-2.988,1,0.0963,0.00611,0.0,0.402,0.843,119.93,195145,4
144,The Chainsmokers,Call You Mine,1SNiXDwSilLujcYdvfqVpT,87,0.591,0.702,7,-5.59,1,0.0289,0.225,0.0,0.414,0.501,104.003,217653,4
145,Major Lazer,Trigger,0Z26mbSHJ1dkUu7g9DDgif,86,0.57,0.585,8,-7.041,1,0.251,0.128,9.7e-05,0.111,0.378,97.285,171987,4
146,Dreamville,Under The Sun (with J. Cole & Lute feat. DaBaby),6MF4tRr5lU8qok8IKaFOBE,81,0.691,0.64,0,-6.441,1,0.369,0.511,0.0,0.409,0.163,138.672,202040,4
147,Miley Cyrus,Slide Away,44ADyYoY5liaRa3EOAl4uf,87,0.53,0.538,5,-6.672,1,0.0335,0.17,2.83e-06,0.248,0.288,148.051,233654,4
148,Billie Eilish,wish you were gay,3Fj47GNK2kUF0uaEDgXLaD,86,0.853,0.351,7,-10.198,1,0.241,0.39,9.38e-06,0.752,0.282,118.028,221543,4
149,Taylor Swift,The Man,3RauEVgRgj1IuWdJ9fDs70,85,0.777,0.658,0,-5.191,1,0.054,0.0767,0.0,0.0901,0.633,110.048,190360,4
150,5 Seconds of Summer,Teeth,1JRK7srBWUtAW7dPabKBwJ,87,0.755,0.448,3,-2.993,0,0.0405,0.0508,3.87e-06,0.11,0.431,139.028,204887,4
