artist_name,track_name,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,rating
Harry Styles,Lights Up,2plLJpUcYPFrl1sW2pMG63,95,0.585,0.62,3,-8.09,0,0.0327,0.0426,0.00224,0.15,0.281,101.939,172227,4,Hit
Post Malone,Take What You Want (feat. Ozzy Osbourne & Travis Scott),7CZyCXKG6d5ALeq41sLzbw,93,0.499,0.8,1,-2.665,0,0.0502,0.0906,0.0,0.147,0.272,139.91899999999998,229573,4,Hit
Post Malone,Goodbyes (feat. Young Thug),0t3ZvGKlmYmVsDzBJAXK8C,94,0.5479999999999999,0.653,5,-3.875,1,0.081,0.456,0.0,0.10300000000000001,0.163,150.06799999999998,174853,4,Hit
Lil Tecca,Ransom,1lOe9qE0vR9zwWQAOk6CoO,93,0.745,0.642,7,-6.257000000000001,0,0.287,0.0204,0.0,0.0658,0.226,179.97400000000002,131240,4,Hit
Billie Eilish,bad guy,2Fxmhks0bxGSBdJ92vM42m,96,0.701,0.425,7,-10.965,1,0.375,0.32799999999999996,0.13,0.1,0.562,135.128,194088,4,Hit
DaBaby,VIBEZ,0fySG6A6qLE8IvDpayb5bM,88,0.768,0.652,1,-2.708,0,0.307,0.113,0.0,0.107,0.777,154.187,144935,4,Hit
DaBaby,Suge,2gwkD6igEhQbDQegRCcdoB,88,0.8759999999999999,0.662,2,-6.482,0,0.426,0.0608,0.0,0.127,0.8440000000000001,75.445,163320,4,Hit
DaBaby,BOP,6Ozh9Ok6h4Oi1wUSLtBseN,88,0.769,0.787,11,-3.909,1,0.36700000000000005,0.18899999999999997,0.0,0.129,0.836,126.77,159715,4,Hit
Post Malone,Enemies (feat. DaBaby),0Xek5rqai2jcOWCYWJfVCF,90,0.542,0.674,6,-4.169,1,0.21,0.0588,0.0,0.0955,0.667,76.388,196760,4,Hit
Sam Smith,How Do You Sleep?,6b2RcmUt1g9N9mQ3CbjX2Y,96,0.47700000000000004,0.682,1,-4.931,0,0.0925,0.153,0.0,0.0763,0.345,110.56700000000001,202205,5,Hit
Post Malone,Saint-Tropez,05mDaV9Vb3wrzjF6OPZnhq,92,0.617,0.684,0,-3.6180000000000003,1,0.0439,0.0545,0.0,0.10400000000000001,0.295,132.113,150867,4,Hit
Lil Mosey,Stuck In A Dream (feat. Gunna),5hDAT527wXWNBnJlujhuUs,89,0.753,0.652,10,-5.943,0,0.0753,0.444,0.0,0.11699999999999999,0.745,139.96200000000002,123560,4,Hit
Lil Nas X,Panini,6fTt0CH2t0mdeB2N9XFG5r,91,0.703,0.594,5,-6.146,0,0.0752,0.342,0.0,0.12300000000000001,0.475,153.84799999999998,114893,4,Hit
Chris Brown,No Guidance (feat. Drake),6XHVuErjQ4XNm6nDPVCxVX,89,0.698,0.45399999999999996,1,-6.756,0,0.151,0.12300000000000001,0.0,0.155,0.13699999999999998,92.932,260640,4,Hit
Shawn Mendes,Señorita,0TK2YIli7K1leLovkQiNik,98,0.759,0.54,9,-6.039,0,0.0287,0.037000000000000005,0.0,0.0945,0.75,116.947,190960,4,Hit
Y2K,Lalala,51Fjme0JiitpyXKuyQiCDo,96,0.843,0.391,2,-7.899,1,0.0845,0.18100000000000002,0.0,0.13699999999999998,0.496,129.972,160627,4,Hit
Young Thug,Bad Bad Bad (feat. Lil Baby),1GeNui6m825V8jP4uKiIaH,87,0.9740000000000001,0.596,6,-8.888,1,0.184,0.0976,0.0,0.151,0.892,111.959,149040,4,Hit
Halsey,Graveyard,6V9fHiv84WlVTg7CSnIVY2,92,0.667,0.583,11,-5.127000000000001,0,0.0747,0.231,4.48e-05,0.18100000000000002,0.187,92.04299999999999,181806,4,Hit
Polo G,Pop Out (feat. Lil Tjay),6uFn47ACjqYkc0jADwEdj1,87,0.772,0.639,1,-7.119,1,0.467,0.15,0.0,0.0698,0.261,168.112,166560,4,Hit
Mustard,Ballin' (feat. Roddy Ricch),3QzAOrNlsabgbMwlZt7TAY,86,0.809,0.545,7,-6.678,1,0.0735,0.392,0.0,0.151,0.244,97.008,180435,4,Hit
SHAED,Trampoline (with ZAYN),1iQDltZqI7BXnHrFy4Qo1k,92,0.619,0.45899999999999996,7,-5.782,0,0.0334,0.56,0.0,0.13699999999999998,0.498,126.803,184280,4,Hit
Ed Sheeran,Beautiful People (feat. Khalid),4evmHXcjt3bTUHD1cvny97,94,0.64,0.648,5,-8.113,0,0.187,0.124,0.0,0.0802,0.5479999999999999,92.977,197867,4,Hit
Kanye West,On God,2SasoXZyv82yYgHiVOvxQn,88,0.41,0.8859999999999999,9,-4.413,0,0.155,0.0671,0.0,0.461,0.39299999999999996,72.577,136351,4,Hit
Chance the Rapper,Hot Shower,00ko9WaS4jOX1kEk3gvHjf,85,0.897,0.522,2,-7.577999999999999,1,0.374,0.0016,0.0,0.0554,0.623,149.986,225924,4,Hit
Camila Cabello,Liar,7LzouaWGFCy4tkXDOOnEyM,94,0.74,0.498,11,-6.684,0,0.0456,0.0169,0.00282,0.319,0.652,98.016,207039,4,Hit
Kanye West,Closed On Sunday,3JWiDGQX2eTlFvKj3Yssj3,88,0.799,0.29100000000000004,11,-7.353,0,0.0318,0.873,0.000641,0.139,0.406,97.984,151873,4,Hit
J. Cole,MIDDLE CHILD,2JvzF1RMd7lE3KmFlsyZD8,87,0.8370000000000001,0.364,8,-11.713,1,0.276,0.149,0.0,0.271,0.46299999999999997,123.984,213594,4,Hit
Selena Gomez,Look At Her Now,4yI3HpbSFSgFZtJP2kDe5m,92,0.563,0.564,10,-7.906000000000001,0,0.271,0.114,0.0254,0.304,0.55,154.355,162596,5,Hit
Post Malone,Hollywood's Bleeding,7sWRlDoTDX8geTR8zzr2vt,90,0.405,0.6459999999999999,4,-3.2060000000000004,0,0.0476,0.331,0.0,0.10300000000000001,0.17,130.218,156267,4,Hit
Arizona Zervas,ROXANNE,1ZPWWSwCkxKfqdp4H0RFCo,87,0.621,0.601,6,-5.6160000000000005,0,0.14800000000000002,0.0522,0.0,0.46,0.457,116.735,163636,5,Hit
YoungBoy Never Broke Again,Make No Sense,6klLvorLoo1sxvZcjJIY8I,85,0.8759999999999999,0.733,10,-4.478,0,0.33299999999999996,0.0208,0.0,0.0999,0.9620000000000001,154.904,148630,4,Hit
Post Malone,Wow.,7xQAfvXzm3AkraOtGPWIZg,89,0.8290000000000001,0.539,11,-7.359,0,0.20800000000000002,0.136,1.78e-06,0.10300000000000001,0.38799999999999996,99.96,149547,4,Hit
Kanye West,Selah,39JRmdKFka1Oe09FoOCPI4,87,0.48200000000000004,0.618,9,-5.672999999999999,0,0.19699999999999998,0.647,0.000859,0.32,0.146,90.07600000000001,164620,3,Hit
24kGoldn,VALENTINO,0c7K73roy6RW4ebDkf4yGh,87,0.745,0.718,9,-4.853,0,0.183,0.19699999999999998,0.0,0.134,0.539,151.097,179133,4,Hit
Kanye West,Everything We Need,24bnCCysWnbNRNUT4LpHcP,87,0.894,0.41600000000000004,9,-6.8229999999999995,0,0.0538,0.312,0.0,0.146,0.46299999999999997,116.96,116560,4,Hit
Quality Control,Baby,2nKYHpmwjLaEOXS3o7QMiz,85,0.97,0.46299999999999997,10,-7.2589999999999995,1,0.366,0.0957,0.0,0.151,0.46,108.00299999999999,142417,4,Hit
Lil Nas X,Panini - DaBaby Remix,4SDgTLDYrJ2UrHbkRkg7MD,86,0.7170000000000001,0.598,5,-5.6129999999999995,0,0.0809,0.22,0.0,0.122,0.496,153.905,151040,4,Hit
Lil Tecca,Did It Again,4guBZjUyrGoHsTahO3IHdj,86,0.6859999999999999,0.561,10,-9.929,0,0.191,0.185,0.0,0.114,0.18600000000000003,148.775,116240,4,Hit
Zedd,Good Thing (with Kehlani),5aUSEPNd3m5xliFK4pn5mU,89,0.693,0.564,1,-3.8569999999999998,0,0.0378,0.39899999999999997,0.0,0.0409,0.574,185.91299999999998,210901,3,Hit
Ali Gatie,It's You,6moU77g9RQyMzHNuKEaQKq,93,0.732,0.46299999999999997,11,-6.972,0,0.0287,0.374,0.0,0.19399999999999998,0.397,95.971,212607,4,Hit
Ariana Grande,boyfriend (with Social House),0Ryd8975WihbObpp5cPW1t,91,0.4,0.795,10,-3.7310000000000003,0,0.461,0.11900000000000001,0.0,0.159,0.7020000000000001,190.097,186107,4,Hit
Diplo,Heartless (feat. Morgan Wallen),0rFQ5cKYJ9WtHSKp9sxVYt,86,0.764,0.555,11,-6.414,1,0.0604,0.275,0.0,0.0824,0.255,111.00399999999999,169227,4,Hit
Kanye West,Use This Gospel,0oPOuDmmkVp3h6puekhs6P,86,0.611,0.45899999999999996,0,-3.926,0,0.0422,0.614,0.0,0.126,0.177,148.28,213878,4,Hit
Normani,Motivation,0rIAC4PXANcKmitJfoqmVm,90,0.599,0.887,4,-3.967,1,0.0984,0.0192,1.21e-06,0.3,0.8809999999999999,170.918,193837,4,Hit
Ellie Goulding,Hate Me (with Juice WRLD),6kls8cSlUyHW2BUOkDJIZE,89,0.657,0.768,8,-4.628,1,0.0507,0.10800000000000001,0.0,0.14400000000000002,0.759,75.025,186223,4,Hit
Taylor Swift,Lover,1dGr1c8CrMLDpV6mPbImSI,90,0.359,0.5429999999999999,7,-7.582000000000001,1,0.0919,0.49200000000000005,1.58e-05,0.11800000000000001,0.45299999999999996,68.53399999999999,221307,4,Hit
Young Thug,The London (feat. J. Cole & Travis Scott),7DcvwMAiqKJQD1rrdfxSDx,87,0.7959999999999999,0.586,4,-6.946000000000001,0,0.147,0.0247,0.0,0.132,0.179,97.98100000000001,200107,4,Hit
Post Malone,Die For Me (feat. Future & Halsey),2C6WXnmZ66tHhHlnvwePiK,87,0.614,0.66,0,-2.8480000000000003,1,0.0441,0.19,0.0,0.21100000000000002,0.452,145.01,245267,4,Hit
Megan Thee Stallion,Hot Girl Summer (feat. Nicki Minaj & Ty Dolla $ign),5N1o6d8zGcSZSeMFkOUQOk,85,0.872,0.8140000000000001,0,-4.5680000000000005,1,0.155,0.00485,1.96e-06,0.214,0.57,98.985,199427,4,Hit
Post Malone,On The Road (feat. Meek Mill & Lil Baby),12Fkyg9lpmaz2zmKOfw2Y2,87,0.442,0.737,7,-5.046,1,0.109,0.0589,0.0,0.102,0.21,112.93,218320,5,Hit
NLE Choppa,Shotta Flow (Feat. Blueface) [Remix],67XyC1GdSkKb9sbRRkUDXS,85,0.894,0.511,2,-4.768,1,0.42,0.0251,0.0,0.14,0.568,120.08,176632,4,Hit
Bazzi,I.F.L.Y.,4a6q8CR2hzLk2plDkSxkfD,90,0.812,0.519,2,-4.823,1,0.0385,0.379,0.0,0.13,0.5539999999999999,104.954,165714,4,Hit
Billie Eilish,when the party's over,43zdsphuZLzwA9k4DJhU0I,90,0.36700000000000005,0.111,4,-14.084000000000001,1,0.0972,0.978,3.97e-05,0.0897,0.198,82.64200000000001,196077,4,Hit
"Tyler, The Creator",EARFQUAKE,5hVghJ4KaYES3BFUATCYn0,86,0.5539999999999999,0.498,9,-8.866,1,0.0685,0.23,5.98e-06,0.795,0.413,79.635,190067,4,Hit
Tones and I,Dance Monkey,2XU0oxnq2qxCpomAAuJY8K,95,0.8240000000000001,0.588,6,-6.4,0,0.0924,0.6920000000000001,0.00010400000000000001,0.149,0.513,98.027,209438,4,Hit
Lil Uzi Vert,Sanguine Paradise,3XiNC94b4Tq1xwv70sQJGN,84,0.7290000000000001,0.603,6,-6.736000000000001,0,0.0666,0.0948,0.0,0.113,0.207,134.972,243976,4,Hit
Mustard,"Baguettes in the Face (feat. NAV, Playboi Carti & A Boogie Wit da Hoodie)",2zjGJ0dChMR0KxBZS15aqo,85,0.883,0.525,2,-8.054,0,0.0633,0.18899999999999997,0.0,0.0971,0.312,99.978,174100,4,Hit
The Chainsmokers,Takeaway,6wo37KVqFJhtuxPTpLCcfe,92,0.294,0.505,3,-8.106,1,0.042,0.12,0.0,0.0977,0.35700000000000004,85.33200000000001,209893,1,Hit
Juice WRLD,Robbery,6Hj9jySrnFppAI0sEMCZpJ,85,0.685,0.6920000000000001,2,-5.122000000000001,1,0.0457,0.32799999999999996,0.0,0.153,0.578,159.966,240051,5,Hit
Taylor Swift,You Need To Calm Down,6RRNNciQGZEXnqk8SQ9yv5,88,0.7709999999999999,0.6709999999999999,2,-5.617000000000001,1,0.0553,0.009290000000000001,0.0,0.0637,0.7140000000000001,85.02600000000001,171360,4,Hit
Lil Nas X,Old Town Road - Remix,2YpeDb67231RjR0MgVLzsG,93,0.878,0.619,6,-5.56,1,0.102,0.0533,0.0,0.113,0.639,136.041,157067,4,Hit
Bad Bunny,Callaita,2TH65lNHgvLxCKXM3apjxI,94,0.61,0.624,2,-4.773,1,0.309,0.6,2.12e-06,0.243,0.244,176.169,250534,4,Hit
Post Malone,Sunflower - Spider-Man: Into the Spider-Verse,0RiRZpuVRbi7oqRdSMwhQY,88,0.755,0.522,2,-4.368,1,0.0575,0.5329999999999999,0.0,0.0685,0.925,89.96,157560,4,Hit
Lil Tjay,F.N,0RLLvYBopDwooCyvnTwgYu,82,0.5670000000000001,0.515,6,-10.265,0,0.247,0.354,0.0,0.078,0.321,120.1,224000,1,Hit
Kanye West,God Is,6xRWoYwfwIKnT8bQGzKbxR,85,0.6559999999999999,0.637,1,-3.867,1,0.0256,0.34,0.0,0.187,0.267,105.037,203141,4,Hit
Marshmello,One Thing Right,4hPpVbbakQNv8YTHYaOJP4,88,0.659,0.623,4,-2.253,1,0.0451,0.0667,0.0,0.5820000000000001,0.439,88.042,181824,4,Hit
Young Thug,Hot (Remix) [feat. Gunna and Travis Scott],56AMYGJzxBO6p8v0wEe9de,83,0.848,0.713,7,-5.636,0,0.17600000000000002,0.158,0.0,0.0765,0.509,111.984,279907,4,Hit
DaBaby,INTRO,77KMttn3Lic7ZQKDlPqp8v,83,0.862,0.685,0,-7.699,0,0.242,0.0342,0.0,0.204,0.672,100.024,172800,4,Hit
Ed Sheeran,South of the Border (feat. Camila Cabello & Cardi B),4vUmTMuQqjdnvlZmAH61Qk,93,0.857,0.621,9,-6.376,0,0.0824,0.14800000000000002,0.0,0.0865,0.6679999999999999,97.986,204467,4,Hit
Kanye West,Water,454Epa1vrCGFddHXKyC1kb,85,0.505,0.281,2,-12.404000000000002,1,0.1,0.57,0.000254,0.163,0.28300000000000003,82.338,168420,4,Hit
Saweetie,My Type,5KBARWIxeMGkvUax9VtVC9,84,0.899,0.8109999999999999,2,-6.294,1,0.258,0.000677,0.0,0.0672,0.5870000000000001,105.038,126446,4,Hit
Ariana Grande,7 rings,6ocbgoVGwYJhOv1GgI9NsF,90,0.778,0.317,1,-10.732000000000001,0,0.33399999999999996,0.5920000000000001,0.0,0.0881,0.327,140.048,178627,4,Hit
Lil Tecca,Ransom (with Juice WRLD) - Remix,2WsuSYJNXGKXVYkHPnq2yp,84,0.684,0.6709999999999999,2,-6.4239999999999995,0,0.289,0.0119,0.0,0.0769,0.45,179.987,171253,4,Hit
Regard,Ride It,2tnVG71enUj33Ic2nFN6kZ,95,0.893,0.748,7,-4.2989999999999995,0,0.0821,0.272,1.62e-05,0.09300000000000001,0.867,117.958,157605,4,Hit
Megan Thee Stallion,Cash Shit (feat. DaBaby),2rMAtCaTj16NptyVfEIeAC,82,0.9209999999999999,0.635,1,-4.904,1,0.41600000000000004,0.0218,0.0,0.0946,0.5489999999999999,130.028,192540,4,Hit
Kanye West,Every Hour,1WnqWQcWcuQbVzgE7ecfCY,85,0.588,0.7929999999999999,7,-6.23,1,0.0794,0.466,0.000647,0.9129999999999999,0.6940000000000001,76.997,112239,5,Hit
J Balvin,LA CANCIÓN,0fea68AdmYNygeTGI4RC18,93,0.754,0.6459999999999999,7,-5.795,1,0.317,0.152,1.85e-05,0.10800000000000001,0.429,176.08900000000003,242573,4,Hit
Internet Money,Somebody,735RSTb2xbtWbDtKD9XDYi,84,0.63,0.6709999999999999,6,-6.659,0,0.256,0.363,0.0,0.113,0.33299999999999996,89.921,174333,4,Hit
Mustard,Pure Water (with Migos),3j84U36KvLeXNDPv4t5pI8,85,0.682,0.5589999999999999,0,-5.545,1,0.127,0.174,0.0,0.344,0.13699999999999998,202.015,192471,4,Hit
Lizzo,Good As Hell (feat. Ariana Grande) - Remix,07Oz5StQ7GRoygNLaXs2pd,88,0.6679999999999999,0.892,5,-3.0010000000000003,0,0.0645,0.298,0.0,0.735,0.478,95.927,159011,4,Hit
Niall Horan,Nice To Meet Ya,3cphb8kdsjElYR7r5icK3H,89,0.591,0.841,4,-4.351,0,0.0304,0.0119,0.0,0.395,0.392,109.03399999999999,158805,4,Hit
Anuel AA,China,2ksOAxtIxY8yElEWw8RhgK,96,0.7859999999999999,0.8079999999999999,7,-3.702,1,0.0882,0.0846,0.00028900000000000003,0.0822,0.609,105.027,301714,4,Hit
Summer Walker,Playing Games (with Bryson Tiller) - Extended Version,2xyx0o4xNOLLjBSbOOdcbA,85,0.726,0.408,11,-6.606,0,0.0614,0.603,0.0,0.225,0.45899999999999996,115.91799999999999,143227,4,Hit
Gunna,Baby Birkin,0BOmhToQ03yOdpzYKMEnAg,82,0.848,0.649,2,-6.082999999999999,1,0.315,0.23199999999999998,0.0,0.10099999999999999,0.629,118.04,181948,4,Hit
Kanye West,Hands On,7r6aR2f57resC5r93LwMfK,84,0.514,0.39299999999999996,1,-8.72,0,0.529,0.5579999999999999,0.0,0.282,0.598,78.039,203174,4,Hit
Post Malone,A Thousand Bad Times,2J0NXdHr6MYvKDSxB7k3V2,85,0.632,0.732,6,-3.498,1,0.092,0.105,1.15e-05,0.111,0.317,159.0,221173,4,Hit
Khalid,Talk (feat. Disclosure),6TqXcAFInzjp0bODyvrWEq,85,0.9009999999999999,0.4,0,-8.575,1,0.126,0.051,0.0,0.0599,0.34600000000000003,135.984,197573,4,Hit
Lil Tecca,Love Me,4e0FYxSROat25pH16zMTZI,85,0.7190000000000001,0.5379999999999999,11,-6.897,0,0.28,0.632,0.0,0.135,0.8029999999999999,204.132,117013,4,Hit
YoungBoy Never Broke Again,Self Control,4vSoyDfL0uZyUoWu5NNNsQ,81,0.82,0.6970000000000001,6,-7.296,0,0.37799999999999995,0.0349,0.0,0.19699999999999998,0.629,154.99200000000002,185866,4,Hit
Camila Cabello,Easy,46D0hYb1B7qiU33VtXt21W,87,0.5820000000000001,0.534,4,-7.006,0,0.0439,0.5760000000000001,2.04e-06,0.10099999999999999,0.34,128.02100000000002,196240,4,Hit
Diplo,Lonely (with Jonas Brothers),4fwo6czG5nvOQMzhOto1ya,88,0.738,0.7170000000000001,1,-5.121,1,0.0573,0.062,0.0,0.205,0.5,98.04700000000001,139813,4,Hit
Ed Sheeran,I Don't Care (with Justin Bieber),3HVWdVOQ0ZA45FuZGSfvns,93,0.7979999999999999,0.675,6,-5.041,1,0.0442,0.0912,0.0,0.0894,0.8420000000000001,101.956,219947,4,Hit
Lewis Capaldi,Bruises,4Of7rzpRpV1mWRbhp5rAqG,88,0.736,0.308,4,-7.83,1,0.0677,0.946,0.0,0.18600000000000003,0.361,111.20200000000001,220492,4,Hit
Lauv,Feelings,0y675KDleCZEudjoeL1sQQ,88,0.6940000000000001,0.466,9,-6.757999999999999,1,0.0384,0.0934,0.0,0.098,0.24600000000000002,103.01799999999999,189613,4,Hit
DaBaby,TOES (feat. Lil Baby & Moneybagg Yo),2FvD20Z8aoWIePi7PoN8sG,81,0.816,0.5820000000000001,8,-4.141,1,0.341,0.0794,5.84e-06,0.0916,0.542,160.004,136366,4,Hit
Ariana Grande,"thank u, next",3e9HZxeyfWwjeyPAMmWSSQ,88,0.7170000000000001,0.653,1,-5.6339999999999995,1,0.0658,0.22899999999999998,0.0,0.10099999999999999,0.41200000000000003,106.96600000000001,207320,4,Hit
DaBaby,Goin Baby,3WyRgi8CzQnhzO0xw79tTS,82,0.755,0.772,6,-5.585,1,0.4,0.128,0.0,0.157,0.6779999999999999,132.906,141827,4,Hit
DaBaby,RAW SHIT (feat. Migos),1CCDIow4pPYyJYzhtTUYz2,82,0.8740000000000001,0.7140000000000001,5,-4.946000000000001,1,0.233,0.0273,0.0,0.35600000000000004,0.85,130.046,216678,4,Hit
French Montana,Writing on the Wall (feat. Post Malone & Cardi B),7x9nXsowok1JszkVztI5NI,88,0.773,0.836,9,-2.326,0,0.153,0.28300000000000003,2.1e-05,0.0828,0.49700000000000005,112.01,201271,4,Hit
Lauv,"fuck, i'm lonely (with Anne-Marie) - from “13 Reasons Why: Season 3”",322tcqPhma7F6hfCeLisx0,91,0.8059999999999999,0.5579999999999999,9,-6.46,1,0.0683,0.48200000000000004,0.0,0.0618,0.6779999999999999,95.016,198973,4,Hit
DaBaby,Baby Sitter (feat. Offset),7f1zjZG77S891Uv4O68yfk,82,0.852,0.73,1,-5.803,1,0.0579,0.0219,0.0,0.336,0.39399999999999996,92.506,157693,4,Hit
Bazzi,Paradise,0Rx0DJI556Ix5gBny6EWmn,85,0.8440000000000001,0.644,11,-6.273,0,0.0479,0.0828,0.0,0.113,0.591,122.061,169038,4,Hit
Billie Eilish,bury a friend,4SSnFejRGlZikf02HLewEF,87,0.905,0.389,8,-14.505,1,0.332,0.74,0.162,0.106,0.196,120.046,193143,4,Hit
Summer Walker,Come Thru (with Usher),3TTMUI5dFcbeNSDTTDY9M8,83,0.679,0.728,5,-3.092,0,0.154,0.159,0.0,0.107,0.46,152.001,181013,4,Hit
Sam Smith,Dancing With A Stranger (with Normani),6Qs4SXO9dwPj5GKvVOv8Ki,89,0.741,0.52,8,-7.513,1,0.0656,0.45,1.97e-06,0.222,0.34700000000000003,102.99799999999999,171030,4,Hit
Lil Skies,I,4ZT9FnbFu1PaBfV3itxiqT,82,0.649,0.45299999999999996,6,-7.28,1,0.085,0.627,0.0,0.11599999999999999,0.431,99.18299999999999,181891,4,Hit
Kygo,Higher Love,6oJ6le65B3SEqPwMRNXWjY,92,0.693,0.6779999999999999,8,-7.159,1,0.0324,0.0154,6.05e-06,0.10099999999999999,0.40399999999999997,103.95200000000001,228267,4,Hit
Drake,Behind Barz - Bonus,5r7WvQtyPfy1xch5zMgGRp,84,0.8540000000000001,0.5539999999999999,8,-4.684,1,0.172,0.769,1.84e-06,0.0749,0.272,142.069,163121,4,Hit
NAV,Tap (feat. Meek Mill),5rU6kDNXZLXIinFezpbWbO,82,0.9009999999999999,0.6759999999999999,2,-7.0329999999999995,1,0.251,0.0646,0.0,0.0863,0.452,85.01799999999999,148278,4,Hit
Billie Eilish,i love you,6CcJMwBtXByIz4zQLzFkKc,86,0.42100000000000004,0.131,0,-18.435,1,0.0382,0.9520000000000001,0.004529999999999999,0.109,0.12,137.446,291796,4,Hit
21 Savage,Immortal,4IO8X9W69dIQe0EC5ALXhq,81,0.741,0.87,6,-3.4939999999999998,0,0.503,0.00813,0.0,0.114,0.6629999999999999,184.19400000000002,254723,4,Hit
Post Malone,I'm Gonna Be,1ckLp8lCl8LipXI0ypX72m,83,0.746,0.5589999999999999,5,-4.008,1,0.0316,0.703,0.0,0.14800000000000002,0.368,117.943,200680,4,Hit
BTS,Make It Right (feat. Lauv),314ZkcV7oLWG8yWE7LABvH,88,0.584,0.685,7,-7.811,1,0.425,0.0304,0.0,0.18899999999999997,0.345,97.551,226321,4,Hit
Luke Combs,Beer Never Broke My Heart,7nfmK6oHPDlAd68A11d7AN,81,0.54,0.863,1,-4.4830000000000005,1,0.0481,0.0138,0.0,0.0871,0.64,77.0,186800,4,Hit
Dua Lipa,Don't Start Now,6WrI0LAC5M1Rw2MnX2ZvEg,89,0.794,0.7929999999999999,11,-4.521,0,0.0842,0.0125,0.0,0.0952,0.677,123.941,183290,4,Hit
Post Malone,Allergic,1YscJ7yVTlFxW3eF6pv5ba,83,0.665,0.741,0,-3.694,1,0.0787,0.154,3.02e-05,0.345,0.57,144.968,156893,4,Hit
Kanye West,Jesus Is Lord,7sBgFMWqDWQgrsNSpIBoe8,83,0.243,0.26,4,-5.876,0,0.0305,0.828,4.03e-05,0.532,0.327,76.61,49293,3,Hit
Taylor Swift,ME! (feat. Brendon Urie of Panic! At The Disco),2Rk4JlNc2TPmZe2af99d45,87,0.61,0.83,0,-4.105,1,0.0571,0.033,0.0,0.11800000000000001,0.728,182.162,193000,4,Hit
Taylor Swift,I Forgot That You Existed,43rA71bccXFGD4C8GOpIlN,84,0.664,0.316,5,-10.345,1,0.519,0.298,2.03e-06,0.0812,0.541,92.875,170640,4,Hit
Jonas Brothers,Only Human,0DiDStADDVh3SvAsoJAFMk,88,0.795,0.496,0,-5.882999999999999,1,0.0722,0.10800000000000001,0.0,0.0645,0.8740000000000001,94.01,183000,4,Hit
